"Shawarmaji
",Al Barsha,Dubai,04-4521717,812,/shawarmaji-175356.html
"Sheeshan Restaurant
","Frij Murar, Deira",Dubai,050-4605280,236177,/sheeshan-restaurant-142365.html
"Sher-E-Punjab Restaurant
","Oman St, Al Nakheel",Ras Al Khaimah,04-2730147,38107,/sher-e-punjab-restaurant-113510.html
"Shibam Hadarmout Restaurant
","Near Habtoor Auto Centre, Deira",Dubai,07-2221572,43527,/shibam-hadarmout-restaurant-161891.html
"Shish Shawerma Restaurant Est
",Corniche Rd,Abu Dhabi,04-2666024,23050,/shish-shawerma-restaurant-est-164785.html
"Shiv Sagar Restaurant LLC
","Meena Bazaar, Bur Dubai",Dubai,02-6505576,184061,/shiv-sagar-restaurant-llc-118080.html
"Shoukath Restaurant
",Karama,Dubai,04-3522020,49612,/shoukath-restaurant-144272.html
"Sigddi Restaurant LLC
","Besides Baby Shop, Al Zabel Rd, Karama",Dubai,04-3352526,52546,/sigddi-restaurant-llc-143237.html
Name,Location,City,Phone,P.O BOX,Companylink
"Soy Express
",Mussafah,Abu Dhabi,02-5508900,52100,/soy-express-147050.html
"Soyumm
","Lamcy Plaza, Karama",Dubai,04-3584584,52100,/soyumm-67460.html
"Spaccanapoli
","Crown Plaza, Al Markaziyah",Abu Dhabi,02-6166261,16837,/spaccanapoli-175722.html
"Special Group of Rest and Catering Services
",Khalidiya St,Abu Dhabi,02-6665512,1277,/special-group-of-rest-and-catering-services-133262.html
"Special Restaurant
",Backside of Deira Towers,Abu Dhabi,02-6665512,3929,/special-restaurant-146033.html
Name,Location,City,Phone,P.O BOX,Companylink
"Stills
","Crown Plaza, Yas Island",Abu Dhabi,02-6563066,48324,/stills-175724.html
"Stone Fire Pizza Kitchen
",Near Real Cinemas. The Dubai Mall,Dubai,04-3308152,502936,/stone-fire-pizza-kitchen-67464.html
"Stratos
",Al Markaziyah,Abu Dhabi,800 101101,27888,/stratos-175741.html
"Subah Hotel Management Services LLC
",Mina Rd,Abu Dhabi,02-6723321,52546,/subah-hotel-management-services-llc-140118.html
"Subhiksha Restaurant
",Hamdan St,Abu Dhabi,02-6760675,52119,/subhiksha-restaurant-147725.html
"Sublime Lounge
","Ibis Hotel, 2nd Zabeel Road",Dubai,04-3187130,95526,/sublime-lounge-67465.html
"Subway
","Blk 7, Food Court, Knowledge Village",Dubai,04-3644545,28405,/subway-131293.html
"Subway
","Times Square Centre, Sh zayed road",Dubai,04-3418808,476,/subway-68593.html
Name,Location,City,Phone,P.O BOX,Companylink
"Summerland Motel
","Opp Sharjah Grand Hotel, Port Khalid, Al Khan",Sharjah,06-5281321,6006,/summerland-motel-135656.html
"Sumo Salad
","Dubai Mall Food Court, Downtown Burj Khalifa",Dubai,04-3308063,523,/sumo-salad-62656.html
"Sumo Sushi & Bento
","Ground Floor, Building # 10, BBC Building, Dubai Media City",Dubai,04-3911041,57360,/sumo-sushi-bento-110857.html
"Sunlight Restaurant
",Hamdan St,Abu Dhabi,02-6321566,26438,/sunlight-restaurant-126815.html
"Super Kabab Iranian Restaurant
","Al Khaleej Rd, Abu Hail",Dubai,04-2685685,45863,/super-kabab-iranian-restaurant-175232.html
"Super Seven Seas Restaurants
",Bur Dubai,Dubai,050-2411998,26195,/super-seven-seas-restaurants-117719.html
"Surf Cafe Dubai
",Jumeirah Beach Road,Dubai,04-3932112,7978,/surf-cafe-dubai-175783.html
"Surya Restaurant
",Qusais,Dubai,04-3466292,115443,/surya-restaurant-144090.html
"Susana Restaurant
",Karama,Dubai,04-2678080,77671,/susana-restaurant-158786.html
"Sushi
","Grand Hyatt Hotel, Sheikh Rashid Rd, Bur Dubai",Dubai,04-3575838,333581,/sushi-62658.html
"Sushi Central
",Al Khalidiya,Abu Dhabi,04-3172222,8226,/sushi-central-175662.html
"Sushi Counter
",Dubai Media City,Dubai,600 520007,171567,/sushi-counter-175784.html
"Sushi Folie
","Holiday Inn, Al Barsha, next to Mall of the Emirates",Dubai,04-3751095,30218,/sushi-folie-62660.html
Name,Location,City,Phone,P.O BOX,Companylink
"Tabaq Restaurant
","Hamdan St, Ziani",Abu Dhabi,02-6787349,46695,/tabaq-restaurant-119605.html
"Taipei Dao
",Downtown Dubai,Dubai,04-4510694,1146,/taipei-dao-175785.html
"Taj Mahal Restaurant
","Next to Al Fujairah Jewellery, Opp ADCB",Fujairah,09-2225225,75337,/taj-mahal-restaurant-116562.html
"Tajdeed Hyderabadi Restaurant
","Gete Bldg B Block, Opp City Hotel, Rolla",Sharjah,06-5637393,66988,/tajdeed-hyderabadi-restaurant-68584.html
"Tala Semplice
","8th St., Deira City Centre",Dubai,055-7590859,91521,/tala-semplice-143086.html
"Talay Thai Restaurant
","Le Meridian, Al Zahiyah",Abu Dhabi,04-2925200,643532,/talay-thai-restaurant-175725.html
"Tamar Darbar Restaurant
","Behind Masjid Shahaba, TCA",Abu Dhabi,02-6446666,33779,/tamar-darbar-restaurant-175523.html
"Tamba Restaurant
","World Trade Centre Mall, Al Markaziyah",Abu Dhabi,02-6452221,71121,/tamba-restaurant-175726.html
Name,Location,City,Phone,P.O BOX,Companylink
"Taste Buds Restaurant FZO
","Shop 1, Apricot Building, Dubai Silicon Oasis",Dubai,04-3922283,81658,/taste-buds-restaurant-fzo-175282.html
"Taste Of India Vegetarian Restaurant
",Al Wahda,Sharjah,055-9812345,3929,/taste-of-india-vegetarian-restaurant-147705.html
"Taste Restaurant
","Hor Al Anz, Deira",Dubai,06-5484551,30430,/taste-restaurant-175346.html
"Tasty Biriyani Restaurant
",Deira,Dubai,04-2623050,22399,/tasty-biriyani-restaurant-124756.html
Name,Location,City,Phone,P.O BOX,Companylink
"The Favourite Restaurant
",Al Falah Str,Abu Dhabi,02-6412464,40032,/the-favourite-restaurant-148458.html
"The Forge
","Ritz Carlton, Al Maqta",Abu Dhabi,02-8188282,213059,/the-forge-175696.html
"The Foundry
","Southern Sun, Al Zahiyah",Abu Dhabi,02-8184888,9358,/the-foundry-175697.html
"The Gem Garden
",Shaikh Zayed Road,Dubai,04-3234333,126764,/the-gem-garden-67482.html
"The Grand Grill Steakhouse
",Shk Zayed Rd,Dubai,04-3380409,63363,/the-grand-grill-steakhouse-159152.html
Name,Location,City,Phone,P.O BOX,Companylink
"The Snack House
","Gate 1 Building, Dubai Silicon Oasis",Dubai,04-3338680,15018,/the-snack-house-175266.html
"The Stuffed Burger Company
",Airport Road,Abu Dhabi,056-4279327,42211,/the-stuffed-burger-company-175566.html
"The Terrace Restaurant
",Next to Gulf Medical University,Ajman,02-5560353,82863,/the-terrace-restaurant-142568.html
Name,Location,City,Phone,P.O BOX,Companylink
"Troyka - Ascot Hotel
","5th Flr, Burjuman Centre, Bur Dubai",Dubai,04-3520900,52555,/troyka-ascot-hotel-62627.html
"Tub Of Butter
","Al Manara, Shk Zayed Road",Dubai,04-3438884,74804,/tub-of-butter-175634.html
"Turath Al Mandi
","503, Jumeirah Beach Rd, Jumeirah 3",Dubai,04-3953555,122426,/turath-al-mandi-102640.html
"Turquoiz
",Saadiyat Island,Abu Dhabi,02-4988888,401,/turquoiz-175729.html
"Tutti Frutti Restaurant
",Al Wasit St,Sharjah,06-5668555,16913,/tutti-frutti-restaurant-111389.html
"UBK Cafe
","Movenpick, JLT",Dubai,04-4380000,79401,/ubk-cafe-175787.html
"Udupi Sagar Restaurant
","Near Astoria Hotel, Meena Bazar, Bur Dubai",Dubai,04-3799442,65214,/udupi-sagar-restaurant-175578.html
"Ultra Brasserie
",Dubai Marina,Dubai,052-3960616,14113,/ultra-brasserie-175788.html
"Union Restaurant
","Near Emirates Petrol Station, Launch R/A",Ras Al Khaimah,04-2775644,51311,/union-restaurant-138741.html
Name,Location,City,Phone,P.O BOX,Companylink
"Vascos
","Hilton, Al Khubeirah",Abu Dhabi,02-6811900,14528,/vascos-175731.html
"Vazhiyoram Thattukada
","Near National Paints, Al Muwailah",Sharjah,06-5435498,52423,/vazhiyoram-thattukada-148171.html
"Venus Restaurant
","Opposite Lulu Center, Al Karama",Dubai,04-3352113,24365,/venus-restaurant-173558.html
"Via Delhi Restaurant
","Near Lamcy, Oud Metha",Dubai,04-3448044,40696,/via-delhi-restaurant-175490.html
"Village Restaurant
","Village Hyper Market Bldg, New West Accomodation, 8th R/A, Jafza",Jebel Ali,054-4042477,6647,/village-restaurant-145540.html
"Vrindhavan Restaurant
","Bhnd Deira Taxi Stand, Deira",Dubai,04-8834844,46504,/vrindhavan-restaurant-138760.html
"Wadat Beijing Chinese Restaurant
","Bhnd Lulu Center, Near Sharjah Rotana Hotel",Sharjah,04-2273527,115867,/wadat-beijing-chinese-restaurant-150980.html
